EV_Revenue,Momentum_10,Return_6M,RSI_14,FCF_Yield,ProfitMargin,Company,MarketCap,Sector,ExtractionDate,Price_Sales,IndexSource,PE,BB_Percent,MACD,GrossMargin,SignalScore,Volatility,PB,ROE,Ticker,Beta,QualityScore,EV_EBITDA,SMA20_above_SMA50,ValueScore
3.504,-2.0064411437140395,0.1070453230233623,50.19248744810678,0.004765855727992597,0.17791,3M,78531805184.0,Industrials,2025-06-06,3.2056379863112423,SP500,18.171957,0.2592299591024702,1.2991861217169287,0.41210997,0.6054675489417498,0.0214705209617852,17.591417,0.93824,MMM,1.083,0.3647075015078032,16.11925756156156,1.0,0.9256928098578004
2.409,-4.3342818454731145,-0.1035345831759725,44.040657278929714,0.03766856296213466,0.13741,A. O. Smith,9156792320.0,Industrials,2025-06-06,2.4078418174169123,SP500,17.998604,0.2529792009931064,-0.7701730207501782,0.38042,0.6584742612371228,0.0166378306511783,4.9360347,0.27969998,AOS,1.213,0.3306111259452773,11.915928517765265,1.0,0.9317000714205876
5.662,1.6197755762832702,0.1677672558893104,54.57998341741944,0.025938512378470554,0.31886,Abbott Laboratories,232564408320.0,Health Care,2025-06-06,5.492263363968531,SP500,17.359741,0.6149060986181231,0.6909279632779146,0.55989,0.5505625036383726,0.0142025853137708,4.7645693,0.30649,ABT,0.737,0.4413196734745596,21.752355520620068,1.0,0.9315677573502996
6.904,4.231952661139096,0.0991597798233518,56.80575273498789,0.050502371906128704,0.073130004,AbbVie,335783821312.0,Health Care,2025-06-06,5.847560996071932,SP500,81.23718,0.9261181466004652,0.2692488059016682,0.71015,0.5158493595858888,0.0180230580261208,236.43657,0.884,ABBV,0.491,0.4688038759261761,14.471884005042543,0.0,0.8144232823768616
2.945,0.2041384322422998,-0.1178214175413711,55.55806169752343,0.04337285844893573,0.114300005,Accenture,198475284480.0,Information Technology,2025-06-06,2.950088952884676,SP500,26.115322,0.5083570786342786,2.42416706519208,0.32182997,0.5577643573685291,0.0185942002717205,6.790901,0.26965,ACN,1.327,0.3069805112335933,17.253145524904237,1.0,0.9295921662548152
7.99,0.7554376907901109,-0.2449634905008412,63.25219338691482,0.047048909196141776,0.30635,Adobe Inc.,177940627456.0,Information Technology,2025-06-06,8.06060897818955,SP500,27.558086,0.7201372998910864,8.122192832444284,0.89155,0.5118771932026867,0.024368400453655,13.869216,0.47284,ADBE,1.545,0.3697626350389857,20.32143555228758,1.0,0.9256168730661168
6.667,5.871195062552973,-0.1543761974775158,61.47333082147245,0.017743354182955435,0.080249995,Advanced Micro Devices,190019977216.0,Information Technology,2025-06-06,6.815138668047252,SP500,85.54379,0.7558658186400342,3.884032536699251,0.53578,0.4763579600665176,0.0371411616277001,3.2720494,0.03904,AMD,1.993,0.2448096130107433,31.473501648756685,1.0,0.922120853281326
3.466,11.889922019547452,-0.1462039557644049,52.72733260503443,-0.751176182877415,0.10669,AES Corporation,7670970368.0,Utilities,2025-06-06,0.6329705691467847,SP500,5.855978,0.4785020171635784,-0.1338897760681767,0.17625,0.468835189498156,0.0314873706859861,2.2120714,0.05583,AES,0.939,0.3270298736891134,13.466594504051924,1.0,0.934654940795266
3.491,1.001658732443642,-0.0257901313575095,47.04995859988034,0.0943494587209293,0.21274,Aflac,55897284608.0,Financials,2025-06-06,3.313527471138952,SP500,16.079315,0.4219895799235431,-0.7371006433170351,0.45408002,0.5953500758142198,0.0155510002055649,2.1295571,0.14408,AFL,0.807,0.3984783783234039,12.728443414948643,0.0,0.9331847002924238
5.215,5.0464952747211544,-0.1766361283431248,58.06375685066291,0.032004652802660294,0.17592,Agilent Technologies,32749852672.0,Health Care,2025-06-06,4.942208268135986,SP500,28.396553,0.814959173404679,1.0939534293489572,0.53576,0.5019149525854956,0.0213929091260709,5.334783,0.18882999,A,1.232,0.351693820372929,18.83614842642316,1.0,0.9297188731456476
6.528,3.49502451471563,-0.1190777908864778,54.03698162801011,-0.06431736278809813,0.12755,Air Products,61994082304.0,Materials,2025-06-06,5.159028585569511,SP500,40.197693,0.7282007803866851,1.4698272585890777,0.31947002,0.5365160979587531,0.018226359867413,4.2162857,0.095790006,APD,0.873,0.3581163004922186,18.229298503963726,1.0,0.9283762153928676
6.724,10.763805483373986,0.0297254409775611,69.62807145527539,0.03673537603623614,0.22596,Airbnb,87020863488.0,Consumer Discretionary,2025-06-06,7.7415391908831905,SP500,35.784264,0.9903978752746212,2.731020842004426,0.83048,0.3907687663265328,0.0298497798382663,10.995945,0.3206,ABNB,1.144,0.409643772423,29.828252916271722,1.0,0.9258587165484494
3.59,-0.3892099696823626,-0.2161941410978983,47.38922300998169,0.04712423723589737,0.11262,Akamai Technologies,10939944960.0,Information Technology,2025-06-06,2.71626845836782,SP500,25.791946,0.441687524149726,-0.6530599011915257,0.59073,0.6059660997892757,0.030907049216418,2.4491746,0.09821,AKAM,0.769,0.4079059563734594,12.82660421835579,0.0,0.9315959412379132
9.497,2.4923466976542477,-0.3043910984919994,43.43040192114725,0.10338705565477845,0.0461,Alexandria Real Estate Equities,12157666304.0,Real Estate,2025-06-06,3.913570247989635,SP500,92.47369,0.4122506163350541,-1.7475403011325596,0.70521003,0.6010171894842153,0.0211169415152587,0.68462324,0.01476,ARE,1.267,0.3499441158507775,14.98619606594825,0.0,0.9220354891387256
3.093,4.837498449678395,-0.2205724065148822,52.97574054413851,0.04819964194794544,0.10288,Align Technology,13126998016.0,Health Care,2025-06-06,3.2836128844395764,SP500,32.927273,0.478979434531602,0.903793420243744,0.70022005,0.5301657408354217,0.0262822276821977,3.4870512,0.108430006,ALGN,1.64,0.3088140428279886,15.19672311547027,1.0,0.930109333535608
3.546,-1.7934113234152105,-0.0028573213977137,48.6085770895838,0.04350578866555332,0.16279,Allegion,11963433984.0,Industrials,2025-06-06,3.1311519879571037,SP500,19.526686,0.1664634413261487,0.7142476577831758,0.4449,0.6118888924435444,0.0182164362196113,7.445908,0.42051998,ALLE,1.035,0.3658702074635263,14.688813733013077,1.0,0.930202063830298
6.4,-1.3069747574354813,0.0061587788775754,43.60109463621446,-0.06889570098902723,0.18269,Alliant Energy,15517853696.0,Utilities,2025-06-06,3.808416335586736,SP500,20.831,0.2028141759220111,-0.0737922342085966,0.46493,0.6336460210127994,0.0131709726035889,2.187734,0.10712,LNT,0.576,0.4237033879359315,14.837280933720308,1.0,0.93218388437442
